Hour,Average,Week
2024-07-07 00:00:00,2987.5593116497694,Week 28 a 31
2024-07-07 01:00:00,2989.5376383866906,Week 28 a 31
2024-07-07 02:00:00,2991.761766957048,Week 28 a 31
2024-07-07 03:00:00,2992.0922418222517,Week 28 a 31
2024-07-07 04:00:00,2993.3692610186545,Week 28 a 31
2024-07-07 05:00:00,2994.643774043238,Week 28 a 31
2024-07-07 06:00:00,2996.1021647938574,Week 28 a 31
2024-07-07 07:00:00,2998.080432164797,Week 28 a 31
2024-07-07 08:00:00,3000.0769044129283,Week 28 a 31
2024-07-07 09:00:00,3002.076468717702,Week 28 a 31
2024-07-07 10:00:00,3004.06756803419,Week 28 a 31
2024-07-07 11:00:00,3006.658747240048,Week 28 a 31
2024-07-07 12:00:00,3008.815869383081,Week 28 a 31
2024-07-07 13:00:00,3010.87290929175,Week 28 a 31
2024-07-07 14:00:00,3012.934436040679,Week 28 a 31
2024-07-07 15:00:00,3014.794996347876,Week 28 a 31
2024-07-07 16:00:00,3017.114991506417,Week 28 a 31
2024-07-07 17:00:00,3018.387403447294,Week 28 a 31
2024-07-07 18:00:00,3020.238010748801,Week 28 a 31
2024-07-07 19:00:00,3022.3649772015915,Week 28 a 31
2024-07-07 20:00:00,3024.163096752456,Week 28 a 31
2024-07-07 21:00:00,3025.9570900903404,Week 28 a 31
2024-07-07 22:00:00,3027.7273466363167,Week 28 a 31
2024-07-07 23:00:00,3032.1327438773747,Week 28 a 31
2024-07-08 00:00:00,3034.27888678273,Week 28 a 31
2024-07-08 01:00:00,3035.8359767783654,Week 28 a 31
2024-07-08 02:00:00,3037.664206298523,Week 28 a 31
2024-07-08 03:00:00,3039.5053424761,Week 28 a 31
2024-07-08 04:00:00,3041.103393734631,Week 28 a 31
2024-07-08 05:00:00,3043.084772901845,Week 28 a 31
2024-07-08 06:00:00,3044.7631290096906,Week 28 a 31
2024-07-08 07:00:00,3046.0120998934767,Week 28 a 31
2024-07-08 08:00:00,3047.417614141881,Week 28 a 31
2024-07-08 09:00:00,3050.003171193286,Week 28 a 31
2024-07-08 10:00:00,3052.528283637333,Week 28 a 31
2024-07-08 11:00:00,3056.093862976869,Week 28 a 31
2024-07-08 12:00:00,3057.5620502090287,Week 28 a 31
2024-07-08 13:00:00,3059.756505715583,Week 28 a 31
2024-07-08 14:00:00,3061.446864718926,Week 28 a 31
2024-07-08 15:00:00,3063.707892024451,Week 28 a 31
2024-07-08 16:00:00,3065.5833772391265,Week 28 a 31
2024-07-08 17:00:00,3067.1972016007585,Week 28 a 31
2024-07-08 18:00:00,3069.131056687207,Week 28 a 31
2024-07-08 19:00:00,3070.911119586538,Week 28 a 31
2024-07-08 20:00:00,3073.246425082444,Week 28 a 31
2024-07-08 21:00:00,3074.908069104601,Week 28 a 31
2024-07-08 22:00:00,3081.6257832342817,Week 28 a 31
